"   MODEL_1"

"Time      "	".PART_4.CM_Position.X"	".PART_4.CM_Position.Y"
0.000000e+000	1.000000e+000	5.000000e-001
1.000000e-002	1.005000e+000	4.999750e-001
2.000000e-002	1.009999e+000	4.999000e-001
3.000000e-002	1.014998e+000	4.997750e-001
4.000000e-002	1.019995e+000	4.996001e-001
5.000000e-002	1.024990e+000	4.993751e-001
6.000000e-002	1.029982e+000	4.991003e-001
7.000000e-002	1.034971e+000	4.987755e-001
8.000000e-002	1.039957e+000	4.984009e-001
9.000000e-002	1.044939e+000	4.979764e-001
1.000000e-001	1.049917e+000	4.975021e-001
1.100000e-001	1.054889e+000	4.969780e-001
1.200000e-001	1.059856e+000	4.964043e-001
1.300000e-001	1.064817e+000	4.957809e-001
1.400000e-001	1.069772e+000	4.951080e-001
1.500000e-001	1.074719e+000	4.943855e-001
1.600000e-001	1.079659e+000	4.936136e-001
1.700000e-001	1.084591e+000	4.927924e-001
1.800000e-001	1.089515e+000	4.919218e-001
1.900000e-001	1.094429e+000	4.910021e-001
2.000000e-001	1.099335e+000	4.900333e-001
2.100000e-001	1.104230e+000	4.890155e-001
2.200000e-001	1.109115e+000	4.879487e-001
2.300000e-001	1.113989e+000	4.868332e-001
2.400000e-001	1.118851e+000	4.856690e-001
2.500000e-001	1.123702e+000	4.844562e-001
2.600000e-001	1.128540e+000	4.831950e-001
2.700000e-001	1.133366e+000	4.818854e-001
2.800000e-001	1.138178e+000	4.805277e-001
2.900000e-001	1.142976e+000	4.791219e-001
3.000000e-001	1.147760e+000	4.776682e-001
3.100000e-001	1.152529e+000	4.761668e-001
3.200000e-001	1.157283e+000	4.746177e-001
3.300000e-001	1.162022e+000	4.730212e-001
3.400000e-001	1.166744e+000	4.713773e-001
3.500000e-001	1.171449e+000	4.696864e-001
3.600000e-001	1.176137e+000	4.679484e-001
3.700000e-001	1.180808e+000	4.661637e-001
3.800000e-001	1.185460e+000	4.643323e-001
3.900000e-001	1.190094e+000	4.624545e-001
4.000000e-001	1.194709e+000	4.605305e-001
4.100000e-001	1.199305e+000	4.585604e-001
4.200000e-001	1.203880e+000	4.565445e-001
4.300000e-001	1.208435e+000	4.544829e-001
4.400000e-001	1.212970e+000	4.523758e-001
4.500000e-001	1.217483e+000	4.502236e-001
4.600000e-001	1.221974e+000	4.480262e-001
4.700000e-001	1.226443e+000	4.457841e-001
4.800000e-001	1.230890e+000	4.434975e-001
4.900000e-001	1.235313e+000	4.411664e-001
5.000000e-001	1.239713e+000	4.387913e-001
5.100000e-001	1.244089e+000	4.363723e-001
5.200000e-001	1.248440e+000	4.339096e-001
5.300000e-001	1.252767e+000	4.314035e-001
5.400000e-001	1.257068e+000	4.288543e-001
5.500000e-001	1.261344e+000	4.262623e-001
5.600000e-001	1.265593e+000	4.236276e-001
5.700000e-001	1.269816e+000	4.209505e-001
5.800000e-001	1.274012e+000	4.182313e-001
5.900000e-001	1.278181e+000	4.154703e-001
6.000000e-001	1.282321e+000	4.126678e-001
6.100000e-001	1.286434e+000	4.098240e-001
6.200000e-001	1.290518e+000	4.069392e-001
6.300000e-001	1.294572e+000	4.040138e-001
6.400000e-001	1.298598e+000	4.010479e-001
6.500000e-001	1.302593e+000	3.980419e-001
6.600000e-001	1.306558e+000	3.949961e-001
6.700000e-001	1.310493e+000	3.919108e-001
6.800000e-001	1.314397e+000	3.887864e-001
6.900000e-001	1.318269e+000	3.856230e-001
7.000000e-001	1.322109e+000	3.824211e-001
7.100000e-001	1.325917e+000	3.791809e-001
7.200000e-001	1.329692e+000	3.759029e-001
7.300000e-001	1.333435e+000	3.725872e-001
7.400000e-001	1.337144e+000	3.692343e-001
7.500000e-001	1.340819e+000	3.658444e-001
7.600000e-001	1.344461e+000	3.624180e-001
7.700000e-001	1.348068e+000	3.589553e-001
7.800000e-001	1.351640e+000	3.554568e-001
7.900000e-001	1.355177e+000	3.519227e-001
8.000000e-001	1.358678e+000	3.483534e-001
8.100000e-001	1.362144e+000	3.447492e-001
8.200000e-001	1.365573e+000	3.411106e-001
8.300000e-001	1.368966e+000	3.374379e-001
8.400000e-001	1.372322e+000	3.337314e-001
8.500000e-001	1.375640e+000	3.299916e-001
8.600000e-001	1.378921e+000	3.262187e-001
8.700000e-001	1.382164e+000	3.224133e-001
8.800000e-001	1.385369e+000	3.185756e-001
8.900000e-001	1.388536e+000	3.147060e-001
9.000000e-001	1.391663e+000	3.108050e-001
9.100000e-001	1.394752e+000	3.068729e-001
9.200000e-001	1.397801e+000	3.029101e-001
9.300000e-001	1.400810e+000	2.989170e-001
9.400000e-001	1.403779e+000	2.948940e-001
9.500000e-001	1.406708e+000	2.908415e-001
9.600000e-001	1.409596e+000	2.867600e-001
9.700000e-001	1.412443e+000	2.826498e-001
9.800000e-001	1.415249e+000	2.785113e-001
9.900000e-001	1.418013e+000	2.743449e-001
1.000000e+000	1.420735e+000	2.701512e-001


